qnummer;snummer
q0663139;r0467732
q0473969;r0385568
q0645860;r0451585
q0473680;r0368818
q0472259;r0377166
q0662608;r0455635
q0647073;r0450064
q0768813;r0454125
q0662150;r0468570
q0682578;r0461146
q0601683;r0388017
q0670697;r0456037
q0645933;r0461224
q0660818;r0460360
q0770227;r0457339
q0623982;r0380060
q0770319;r0457600
q0820535;r0468116
q0647077;r0467740
q0667063;r0462143
q0760120;r0443539
q0668472;r0452024
q0668839;r0453938
q0649628;r0467753
q0754371;r0453752
q0824055;r0471222
q0644889;r0449310
q0754769;r0468928
q0661942;r0458295
q0613576;r0459106
q0465696;r0377659
q0683037;r0462309
q0236877;s0211743
q0614120;r0466845
q0449512;r0301599
q0600392;r0449046
q0661281;r0442221
q0666043;r0454160
q0824354;r0471184
q0714079;r0457213
q0674315;r0453960
q0766193;r0449583
q0640278;r0449577
q0454885;r0307342
q0663239;r0465781
q0585568;r0346645
q0730406;r0458220
q0667823;r0456236
q0478348;r0385103
q0731526;r0460119
q0653497;r0465095
q0769732;r0456212
q0729226;r0458576
q0729016;r0439730
q0667064;r0462183
q0677482;r0457521
q0754275;r0459948
q0683692;r0468509
q0646670;r0463265
q0614093;r0379881
q0646408;r0456007
q0633922;r0378403
q0657990;r0449585
q0645924;r0456014
q0683423;r0468313
q0731253;r0442222
q0645457;r0462697
q0674268;r0470218
q0642433;r0388833
q0768964;r0466157
q0752672;r0445399
q0646094;r0451728
q0474773;r0381932
q0754171;r0455596
q0586311;r0457210
q0646894;r0455151
q0475090;r0371807
q0754739;r0464353
q0646915;r0461047
q0670506;r0453322
q0739930;r0468683
q0600270;r0366043
q0646266;r0455860
q0599672;r0459099
q0663422;r0452923
q0638285;r0383909
q0824160;r0470841
q0476037;r0370701
q0642874;r0453524
q0666429;r0465844
q0714004;r0462129
q0465958;r0385360
q0730549;r0469517
q0754750;r0459085
q0663879;r0464396
q0759839;r0464173
q0639862;r0450418
q0730407;r0457272
q0282310;r0472850
q0753706;r0458255
q0666356;r0455803
q0646946;r0468981
q0770432;r0460375
q0652149;r0466049
q0668708;r0455311
q0652188;r0469120
q0514444;r0451769
q0658442;r0456378
q0677947;r0470141
q0646466;r0442224
q0643908;r0468952
q0657171;r0461867
q0645781;r0449390
q0461109;r0367408
q0782917;r0465277
q0647270;r0464191
q0669720;r0452516
q0461450;r0453403
q0765920;r0454193
q0628963;r0386815
q0731653;r0460609
q0729430;r0451199
q0823534;r0469960
q0731539;r0461903
q0821116;r0469905
q0673328;r0454764
q0646908;r0469330
q0645465;r0462144
q0646892;r0460319
q0643882;r0470006
q0767438;r0459104
q0673332;r0450879
q0666784;r0459145
q0670220;r0469123
q0781371;r0462924
q0666409;r0449042
q0646292;r0462174
q0784192;r0467538
q0765863;r0464825
q0645799;r0443550
q0646055;r0455154
q0507081;r0470025
q0652592;r0443551
q0657452;r0463285
q0470011;r0371968
q0768564;r0463161
q0751051;r0450807
q0683081;r0463249
q0683009;r0463250
q0649326;r0452194
q0468407;r0385066
q0771445;r0461003
q0677828;r0452012
q0754236;r0449343
q0766781;r0465233
q0766023;r0460644
q0674181;r0469861
q0682179;r0449552
q0738242;r0468398
q0636350;r0381052
q0642260;r0464919
q0750138;r0467310
q0768789;r0454541
q0666905;r0460941
q0635869;r0453111
q0738944;r0458787
q0683082;r0456559
q0714488;r0456795
q0646599;r0451433
q0714036;r0451218
q0645093;r0458896
q0507279;r0388479
q0783219;r0466807
q0664089;r0450894
